serial_time	550_nm	680_nm	 
736865.954849537000	8.93	4.98	
736865.954861111120	8.93	4.99	
736865.954872685140	8.94	4.99	
736865.954884259260	8.93	4.99	
736865.954895833270	8.92	5.00	
736865.954907407400	8.93	5.00	
736865.954918981530	8.94	5.00	
736865.954930555540	8.94	5.01	
736865.954942129670	8.95	5.01	
736865.954953703680	8.95	4.99	
736865.954965277810	9.04	4.99	
736865.954976851820	9.13	4.98	
736865.954988425950	9.15	4.97	
736865.954999999960	9.15	4.98	
736865.955011574090	9.15	5.00	
736865.955023148100	9.15	5.02	
736865.955034722220	9.14	5.04	
736865.955046296350	9.13	5.05	
736865.955057870360	9.14	5.05	
736865.955069444490	9.12	5.05	
736865.955081018500	9.11	5.04	
736865.955092592630	9.11	5.03	
736865.955104166640	9.11	5.02	
736865.955115740770	9.11	5.00	
736865.955127314780	9.10	5.00	
736865.955138888910	9.10	5.00	
736865.955150462920	9.10	4.99	
736865.955162037050	9.11	5.00	
736865.955173611060	9.11	5.00	
736865.955185185190	9.10	5.01	
736865.955196759310	9.10	5.02	
736865.955208333330	9.11	5.04	
736865.955219907450	9.11	5.05	
736865.955231481460	9.11	5.04	
736865.955243055590	9.12	5.03	
736865.955254629600	9.15	5.04	
736865.955266203730	9.17	5.04	
736865.955277777740	9.17	5.04	
736865.955289351870	9.18	5.03	
736865.955300925880	9.19	5.04	
736865.955312500010	9.18	5.04	
736865.955324074020	9.17	5.02	
736865.955335648150	9.18	4.99	
736865.955347222280	9.18	4.96	
736865.955358796290	9.18	4.93	
736865.955370370420	9.19	4.91	
736865.955381944430	9.21	4.90	
736865.955393518550	9.21	4.90	
736865.955405092570	9.19	4.91	
736865.955416666690	9.18	4.91	
736865.955428240700	9.15	4.92	
736865.955439814830	9.12	4.93	
736865.955451388840	9.11	4.93	
736865.955462962970	9.10	4.94	
736865.955474536980	9.09	4.94	
736865.955486111110	9.08	4.95	
736865.955497685240	9.08	4.94	
736865.955509259250	9.07	4.94	
736865.955520833380	9.05	4.94	
736865.955532407390	9.05	4.93	
736865.955543981520	9.06	4.94	
736865.955555555530	9.06	4.94	
736865.955567129650	9.07	4.93	
736865.955578703670	9.07	4.93	
736865.955590277790	9.08	4.94	
