"Blue","Green","Red","Date","Hour","Min","Date_Hr"
5.458e-05,3.578e-05,2.173e-05,2017-04-12,2,54,2017-04-12 02:54:00
5.394e-05,3.546e-05,2.139e-05,2017-04-12,2,55,2017-04-12 02:55:00
5.303e-05,3.543e-05,2.096e-05,2017-04-12,2,56,2017-04-12 02:56:00
5.138e-05,3.406e-05,2.115e-05,2017-04-12,2,57,2017-04-12 02:57:00
5.184e-05,3.369e-05,2.093e-05,2017-04-12,2,58,2017-04-12 02:58:00
4.951e-05,3.322e-05,2.048e-05,2017-04-12,2,59,2017-04-12 02:59:00
5.144e-05,3.271e-05,2.086e-05,2017-04-12,3,0,2017-04-12 03:00:00
4.847e-05,3.19e-05,1.965e-05,2017-04-12,3,1,2017-04-12 03:01:00
4.897e-05,3.251e-05,1.983e-05,2017-04-12,3,2,2017-04-12 03:02:00
4.812e-05,3.159e-05,2.004e-05,2017-04-12,3,3,2017-04-12 03:03:00
4.759e-05,3.133e-05,1.93e-05,2017-04-12,3,4,2017-04-12 03:04:00
4.843e-05,3.108e-05,1.899e-05,2017-04-12,3,5,2017-04-12 03:05:00
4.517e-05,3.018e-05,1.85e-05,2017-04-12,3,6,2017-04-12 03:06:00
4.569e-05,3.047e-05,1.927e-05,2017-04-12,3,7,2017-04-12 03:07:00
4.645e-05,3.013e-05,1.891e-05,2017-04-12,3,8,2017-04-12 03:08:00
4.606e-05,3.04e-05,1.846e-05,2017-04-12,3,9,2017-04-12 03:09:00
4.723e-05,3.078e-05,1.886e-05,2017-04-12,3,10,2017-04-12 03:10:00
4.607e-05,3.082e-05,1.918e-05,2017-04-12,3,11,2017-04-12 03:11:00
4.704e-05,3.021e-05,1.914e-05,2017-04-12,3,12,2017-04-12 03:12:00
4.659e-05,3.054e-05,1.899e-05,2017-04-12,3,13,2017-04-12 03:13:00
4.521e-05,3.063e-05,1.958e-05,2017-04-12,3,14,2017-04-12 03:14:00
4.701e-05,2.994e-05,1.931e-05,2017-04-12,3,15,2017-04-12 03:15:00
2.895e-05,1.626e-05,1.593e-05,2017-04-12,3,21,2017-04-12 03:21:00
4.376e-05,2.925e-05,1.923e-05,2017-04-12,3,22,2017-04-12 03:22:00
4.394e-05,2.953e-05,1.835e-05,2017-04-12,3,23,2017-04-12 03:23:00
4.382e-05,2.905e-05,1.87e-05,2017-04-12,3,24,2017-04-12 03:24:00
4.416e-05,3.063e-05,1.833e-05,2017-04-12,3,25,2017-04-12 03:25:00
4.406e-05,2.928e-05,1.914e-05,2017-04-12,3,26,2017-04-12 03:26:00
4.452e-05,2.998e-05,1.899e-05,2017-04-12,3,27,2017-04-12 03:27:00
4.574e-05,3.049e-05,1.885e-05,2017-04-12,3,28,2017-04-12 03:28:00
