,CRDS Time,Averaged Extinction
396,2017-04-10 22:07:24,
397,2017-04-10 22:08:24,
398,2017-04-10 22:09:24,
399,2017-04-10 22:10:24,10.616014929334092
400,2017-04-10 22:11:24,9.826371764576036
401,2017-04-10 22:12:24,9.64434870464904
402,2017-04-10 22:13:24,9.696716657477376
403,2017-04-10 22:14:24,9.956512155345793
404,2017-04-10 22:15:24,10.642451457813245
405,2017-04-10 22:16:24,10.921875823883214
406,2017-04-10 22:17:24,10.331822040812456
407,2017-04-10 22:18:24,9.135315228697918
408,2017-04-10 22:19:24,10.963992889982046
409,2017-04-10 22:20:24,10.112770073924137
410,2017-04-10 22:21:24,9.532587439640327
411,2017-04-10 22:22:24,10.294710451770792
412,2017-04-10 22:23:24,9.724858714762743
413,2017-04-10 22:24:24,9.858329643614015
414,2017-04-10 22:25:24,9.738484361089771
415,2017-04-10 22:26:24,10.679129117933623
416,2017-04-10 22:27:24,11.17650230056415
417,2017-04-10 22:28:24,9.79948027419232
418,2017-04-10 22:29:24,9.369421804399387
419,2017-04-10 22:30:24,
420,2017-04-10 22:31:24,
421,2017-04-10 22:32:24,
422,2017-04-10 22:33:24,
423,2017-04-10 22:34:24,
424,2017-04-10 22:35:24,
425,2017-04-10 22:36:24,
426,2017-04-10 22:37:24,
427,2017-04-10 22:38:24,
428,2017-04-10 22:39:24,
429,2017-04-10 22:40:24,12.03660041084882
430,2017-04-10 22:41:24,11.797924193986953
431,2017-04-10 22:42:24,12.434285790763903
432,2017-04-10 22:43:24,10.330689300089508
433,2017-04-10 22:44:24,10.896219739572585
434,2017-04-10 22:45:24,10.602718306058717
435,2017-04-10 22:46:24,11.225628419060177
436,2017-04-10 22:47:24,10.991263165598722
437,2017-04-10 22:48:24,10.908388963198265
438,2017-04-10 22:49:24,11.882071485560774
439,2017-04-10 22:50:24,12.105462648124496
440,2017-04-10 22:51:24,10.747780958189951
441,2017-04-10 22:52:24,11.159976365246468
442,2017-04-10 22:53:24,14.352182020028925
443,2017-04-10 22:54:24,12.717451739700953
444,2017-04-10 22:55:24,11.289043749055462
445,2017-04-10 22:56:24,12.187923098381527
446,2017-04-10 22:57:24,11.673288311267488
447,2017-04-10 22:58:24,11.374408689355395
448,2017-04-10 22:59:24,11.246331431794298
449,2017-04-10 23:00:24,
450,2017-04-10 23:01:24,
451,2017-04-10 23:02:24,
452,2017-04-10 23:03:24,
453,2017-04-10 23:04:24,
454,2017-04-10 23:05:24,
455,2017-04-10 23:06:24,
456,2017-04-10 23:07:24,
457,2017-04-10 23:08:24,
458,2017-04-10 23:09:24,
459,2017-04-10 23:10:24,10.676146851119764
460,2017-04-10 23:11:24,12.130727420076832
461,2017-04-10 23:12:24,13.348768955568922
462,2017-04-10 23:13:24,11.728123130436405
463,2017-04-10 23:14:24,12.361308336749143
464,2017-04-10 23:15:24,11.750014812527832
465,2017-04-10 23:16:24,11.615950814353283
466,2017-04-10 23:17:24,12.737553345738785
467,2017-04-10 23:18:24,12.462718294980224
468,2017-04-10 23:19:24,13.33364304345023
469,2017-04-10 23:20:24,11.863226197592224
470,2017-04-10 23:21:24,13.08069932706057
471,2017-04-10 23:22:24,13.912865365131834
472,2017-04-10 23:23:24,13.56627132974639
473,2017-04-10 23:24:24,13.467589175466237
474,2017-04-10 23:25:24,14.134336376663276
475,2017-04-10 23:26:24,14.140713449648823
476,2017-04-10 23:27:24,15.418157104258231
477,2017-04-10 23:28:24,15.088328406659498
478,2017-04-10 23:29:24,15.550735967950809
479,2017-04-10 23:30:24,
480,2017-04-10 23:31:24,
481,2017-04-10 23:32:24,
482,2017-04-10 23:33:24,
483,2017-04-10 23:34:24,
484,2017-04-10 23:35:24,
485,2017-04-10 23:36:24,
486,2017-04-10 23:37:24,
487,2017-04-10 23:38:24,
488,2017-04-10 23:39:24,
489,2017-04-10 23:40:24,14.57435217312044
490,2017-04-10 23:41:24,14.438319588000622
491,2017-04-10 23:42:24,14.093453644870939
492,2017-04-10 23:43:24,14.178533300167693
493,2017-04-10 23:44:24,16.23278402843969
494,2017-04-10 23:45:24,13.931755650386028
495,2017-04-10 23:46:24,13.85001129380578
496,2017-04-10 23:47:24,13.041282757176598
497,2017-04-10 23:48:24,13.8741077997489
498,2017-04-10 23:49:24,13.842403325034988
499,2017-04-10 23:50:24,13.938723404353173
500,2017-04-10 23:51:24,12.828530762042536
501,2017-04-10 23:52:24,14.48433867992753
502,2017-04-10 23:53:24,13.93093190377926
503,2017-04-10 23:54:24,13.844185917204436
504,2017-04-10 23:55:24,14.25755110234774
505,2017-04-10 23:56:24,13.165969820389991
506,2017-04-10 23:57:24,12.558311733513163
507,2017-04-10 23:58:24,13.677289179370307
508,2017-04-10 23:59:24,14.062471308258061
509,2017-04-11 00:00:24,
510,2017-04-11 00:01:24,
511,2017-04-11 00:02:24,
512,2017-04-11 00:03:24,
513,2017-04-11 00:04:24,
514,2017-04-11 00:05:24,
515,2017-04-11 00:06:24,
516,2017-04-11 00:07:24,
517,2017-04-11 00:08:24,
518,2017-04-11 00:09:24,
519,2017-04-11 00:10:24,11.89950190182899
520,2017-04-11 00:11:24,13.837686309654634
521,2017-04-11 00:12:24,13.179293946394731
522,2017-04-11 00:13:24,13.556845151706034
523,2017-04-11 00:14:24,13.008285289399796
524,2017-04-11 00:15:24,13.113695951993337
525,2017-04-11 00:16:24,12.716334075859091
526,2017-04-11 00:17:24,13.572798785955655
527,2017-04-11 00:18:24,14.902118640150336
528,2017-04-11 00:19:24,13.803250380887759
529,2017-04-11 00:20:24,12.315685217081244
530,2017-04-11 00:21:24,12.8483826725547
531,2017-04-11 00:22:24,14.119703871617505
532,2017-04-11 00:23:24,14.457673607151621
533,2017-04-11 00:24:24,13.621883131946342
534,2017-04-11 00:25:24,13.404969384560124
535,2017-04-11 00:26:24,14.3150619451655
536,2017-04-11 00:27:24,12.238663728738484
537,2017-04-11 00:28:24,13.380519977300155
538,2017-04-11 00:29:24,14.10815695079961
539,2017-04-11 00:30:24,
540,2017-04-11 00:31:24,
541,2017-04-11 00:32:24,
542,2017-04-11 00:33:24,
543,2017-04-11 00:34:24,
544,2017-04-11 00:35:24,
545,2017-04-11 00:36:24,
546,2017-04-11 00:37:24,
547,2017-04-11 00:38:24,
548,2017-04-11 00:39:24,
549,2017-04-11 00:40:24,12.47630094628545
550,2017-04-11 00:41:24,14.539352599293826
551,2017-04-11 00:42:24,13.589107889464893
552,2017-04-11 00:43:24,13.61237706965795
553,2017-04-11 00:44:24,12.943017000601516
554,2017-04-11 00:45:24,13.099186277308776
555,2017-04-11 00:46:24,15.310513497441423
556,2017-04-11 00:47:24,12.950825597959572
557,2017-04-11 00:48:24,14.341070612351343
558,2017-04-11 00:49:24,16.113302675308976
559,2017-04-11 00:50:24,13.373517157658553
560,2017-04-11 00:51:24,12.514955730587497
561,2017-04-11 00:52:24,13.403008333177436
562,2017-04-11 00:53:24,12.109664737377095
563,2017-04-11 00:54:24,13.133267148289342
564,2017-04-11 00:55:24,12.341752253594313
565,2017-04-11 00:56:24,11.396126172733888
566,2017-04-11 00:57:24,10.59933941457328
567,2017-04-11 00:58:24,12.012486535239379
568,2017-04-11 00:59:24,10.945848219526239
569,2017-04-11 01:00:24,
570,2017-04-11 01:01:24,
571,2017-04-11 01:02:24,
572,2017-04-11 01:03:24,
573,2017-04-11 01:04:24,
574,2017-04-11 01:05:24,
575,2017-04-11 01:06:24,
576,2017-04-11 01:07:24,
577,2017-04-11 01:08:24,
578,2017-04-11 01:09:24,
579,2017-04-11 01:10:24,11.201386370044903
580,2017-04-11 01:11:24,11.650575125166991
581,2017-04-11 01:12:24,12.047824273793543
582,2017-04-11 01:13:24,12.199662677865623
583,2017-04-11 01:14:24,11.758321718738333
584,2017-04-11 01:15:24,11.247118338128724
585,2017-04-11 01:16:24,12.146619345295942
586,2017-04-11 01:17:24,11.521392233939432
587,2017-04-11 01:18:24,11.229223789224196
588,2017-04-11 01:19:24,13.912426006736206
589,2017-04-11 01:20:24,11.991336817717944
590,2017-04-11 01:21:24,10.967825085129183
591,2017-04-11 01:22:24,12.08362551162597
592,2017-04-11 01:23:24,11.806998333789434
593,2017-04-11 01:24:24,11.204579751746264
594,2017-04-11 01:25:24,10.996240180397512
595,2017-04-11 01:26:24,12.951620288532698
596,2017-04-11 01:27:24,11.89854713765394
597,2017-04-11 01:28:24,11.840046750543769
598,2017-04-11 01:29:24,12.18979489735314
599,2017-04-11 01:30:24,
600,2017-04-11 01:31:24,
601,2017-04-11 01:32:24,
602,2017-04-11 01:33:24,
603,2017-04-11 01:34:24,
604,2017-04-11 01:35:24,
605,2017-04-11 01:36:24,
606,2017-04-11 01:37:24,
607,2017-04-11 01:38:24,
608,2017-04-11 01:39:24,
609,2017-04-11 01:40:24,13.214382531714678
610,2017-04-11 01:41:24,12.113683605695268
611,2017-04-11 01:42:24,11.190883359297365
612,2017-04-11 01:43:24,12.769892573930578
613,2017-04-11 01:44:24,11.98911614360535
614,2017-04-11 01:45:24,13.25489770760361
615,2017-04-11 01:46:24,12.114836242681216
616,2017-04-11 01:47:24,11.78243840298921
617,2017-04-11 01:48:24,12.20324209604911
618,2017-04-11 01:49:24,11.951994257534212
619,2017-04-11 01:50:24,12.726910742310594
620,2017-04-11 01:51:24,12.560832212983824
621,2017-04-11 01:52:24,12.070301967112277
622,2017-04-11 01:53:24,13.254536633732219
623,2017-04-11 01:54:24,13.046090541735087
624,2017-04-11 01:55:24,12.292237453640382
625,2017-04-11 01:56:24,14.22701715530018
626,2017-04-11 01:57:24,13.325271872024691
627,2017-04-11 01:58:24,14.090709492679723
628,2017-04-11 01:59:24,13.588777254189255
629,2017-04-11 02:00:24,
630,2017-04-11 02:01:24,
631,2017-04-11 02:02:24,
632,2017-04-11 02:03:24,
633,2017-04-11 02:04:24,
634,2017-04-11 02:05:24,
635,2017-04-11 02:06:24,
636,2017-04-11 02:07:24,
637,2017-04-11 02:08:24,
638,2017-04-11 02:09:24,
639,2017-04-11 02:10:24,11.390796241283377
640,2017-04-11 02:11:24,11.405512651829802
641,2017-04-11 02:12:24,11.192874561320476
642,2017-04-11 02:13:24,11.809703959546734
643,2017-04-11 02:14:24,11.239031803502249
644,2017-04-11 02:15:24,10.858877922231107
645,2017-04-11 02:16:24,12.915584725389738
646,2017-04-11 02:17:24,12.979479142680301
647,2017-04-11 02:18:24,12.103944673831206
648,2017-04-11 02:19:24,12.069157075558014
649,2017-04-11 02:20:24,13.04631228181578
650,2017-04-11 02:21:24,12.708962089103496
651,2017-04-11 02:22:24,13.890563146219991
652,2017-04-11 02:23:24,13.001002270817484
653,2017-04-11 02:24:24,12.90683708428761
654,2017-04-11 02:25:24,14.456666942525372
655,2017-04-11 02:26:24,14.101792787464337
656,2017-04-11 02:27:24,16.430745249577807
657,2017-04-11 02:28:24,16.331880060154635
658,2017-04-11 02:29:24,14.756591613066512
659,2017-04-11 02:30:24,
660,2017-04-11 02:31:24,
661,2017-04-11 02:32:24,
662,2017-04-11 02:33:24,
663,2017-04-11 02:34:24,
664,2017-04-11 02:35:24,
665,2017-04-11 02:36:24,
666,2017-04-11 02:37:24,
667,2017-04-11 02:38:24,
668,2017-04-11 02:39:24,
669,2017-04-11 02:40:24,16.442202604746218
670,2017-04-11 02:41:24,17.65644642376916
671,2017-04-11 02:42:24,16.714602122245434
672,2017-04-11 02:43:24,16.95078628990274
673,2017-04-11 02:44:24,18.1219586240147
674,2017-04-11 02:45:24,18.11698705647173
